GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
is23am10,it.polimi.is23am10.server.model.pattern,SharedPattern,2,22,1,3,1,5,1,4,0,3
is23am10,it.polimi.is23am10.server.model.pattern,PrivatePattern,2,22,1,3,1,5,1,4,0,3
is23am10,it.polimi.is23am10.server.model.pattern,AbstractPattern,0,15,0,0,0,6,0,3,0,3
is23am10,it.polimi.is23am10.server.network.virtualview,VirtualView,6,143,3,7,1,34,3,18,0,16
is23am10,it.polimi.is23am10.server.network.virtualview,VirtualPlayer,10,86,3,5,2,22,4,10,1,9
is23am10,it.polimi.is23am10.server.model.game,Game.GameStatus,0,27,0,0,0,5,0,1,0,1
is23am10,it.polimi.is23am10.server.model.game,Game,51,640,12,54,11,141,11,67,0,45
is23am10,it.polimi.is23am10.server.network.gamehandler,GameHandler,24,241,10,16,9,63,10,19,0,16
is23am10,it.polimi.is23am10.server.network.gamehandler,CurrentPlayerHandler,0,24,0,0,0,10,0,7,0,7
is23am10,it.polimi.is23am10.server,Server,8,113,4,8,2,31,4,9,0,7
is23am10,it.polimi.is23am10.server,Server.ServerStatus,0,15,0,0,0,3,0,1,0,1
is23am10,it.polimi.is23am10.server.model.items.tile,Tile,7,54,1,9,2,15,2,10,1,6
is23am10,it.polimi.is23am10.server.model.items.tile,Tile.TileType,0,45,0,0,0,8,0,1,0,1
is23am10,it.polimi.is23am10.server.model.factory,SharedPatternFactory,12,1760,28,256,6,244,28,137,0,23
is23am10,it.polimi.is23am10.server.model.factory,GameFactory,0,62,0,0,0,12,0,1,0,1
is23am10,it.polimi.is23am10.server.model.factory,PlayerFactory,0,83,0,8,0,20,0,6,0,2
is23am10,it.polimi.is23am10.server.model.factory,PrivatePatternFactory,48,957,0,148,24,200,0,89,0,15
is23am10,it.polimi.is23am10.server.controller,ServerControllerAction,12,40,3,3,3,7,3,3,1,2
is23am10,it.polimi.is23am10.server.controller,ClientConnectionChecker,68,192,7,17,20,49,8,10,1,5
is23am10,it.polimi.is23am10.server.controller,ServerControllerSocket.CommandDeserializer,12,61,2,5,2,13,2,6,0,2
is23am10,it.polimi.is23am10.server.controller,ServerControllerSocket,10,222,5,9,2,55,5,8,0,6
is23am10,it.polimi.is23am10.server.controller,ServerControllerSocket.CoordinatesDeserializer,21,6,0,0,4,1,1,1,1,1
is23am10,it.polimi.is23am10.server.controller,ServerControllerRmiBindings,8,30,2,2,2,16,2,6,0,6
is23am10,it.polimi.is23am10.server.controller,ServerControllerState,16,243,3,21,5,71,5,22,2,13
